,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative
555,186134623,20186134623,https://hsip.dot.state.oh.us/api/report/20186134623,2018,8/1/2018 0:00,2,MLUCMR01300**C,M,LUC,0.622,41.634716,-83.567308,77000,87868.0,8/22/2018 0:00,Injury possible,Pedalcycles,4,N,,N,N,Major collector roads,20,0,,82c16fa7-c218-4695-bd63-9658277416cd,30282e1a-dd64-4a8f-ad16-6ee793b64635,N,0.622,MLUCMR01300**C,N,Dark - lighted roadway,1.80822E+13,4,8,,1,0,2,TOLEDO,Not an intersection,N,N,Y,2.0,N,0.006,SR,N,,N,TOLEDO,N,,,S,HAWLEY,ST,,,,,N,,,WESTERN,1,,,,AVE,N,N,N,0,,N,,1,Dry,Straight grade,,108531.0,N,0.622,49,N,Other improper action,South,North,,M,N,N,N,Shoulder / roadside,2,Nothing struck,1,2,35,,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,5,0.0,99,9.0,1.0,1.0,,,2,35.0,,15,,,,,,1.0,6.0,NT,3,30.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186134623,"unit #1 was southbound on hawley and unit #2 turned onto hawley from western and struck unit #1 and fled the scene northbound on hawley. unit #2 was reported to be a maroon suv, possibly a chevy trailblazer. two witnesses were interviewed on scene. unit #1 was transported to utmc for injuries. there is a toledo police camera at hawley and western.", western hawley maroon possibly chevy trailblazer interview utmc camera western 
557,186135210,20186135210,https://hsip.dot.state.oh.us/api/report/20186135210,2018,8/1/2018 0:00,12,CCUYCR00020**C,C,CUY,3.766,41.478528,-81.463328,61686,17668.0,8/11/2018 0:00,Minor injury suspected,Pedalcycles,7,N,,N,N,Major collector roads,15,0,,95ec12e9-887a-4557-b286-0e87ae093922,79cc2f08-1e69-4739-981d-ab90b0df89d5,N,3.766,CCUYCR00020**C,N,Daylight,1870168,4,8,,1,1,2,PEPPER PIKE,Four-way intersection,,N,Y,2.0,N,0.0,CR,N,,N,PEPPER PIKE,N,,,,LANDER,RD,,,,,N,,,SHAKER,1,,,,BLVD,N,N,N,0,,N,,0,Dry,Straight level,,49738.0,N,3.766,34,Y,Failure to yield,South,North,,F,N,N,N,Data not valid or not provided,2,Nothing struck,2,2,35,Straight ahead,Pedalcycle,,,,,,None,Stop sign,No turn,Sport utility vehicle,10,26.0,1,4.0,3.0,1.0,M,5.0,1,35.0,15.0,20,,,,,,1.0,4.0,NT,26,10.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186135210,unit 1 was traveling eastbound on shaker blvd. at lander rd. unit 2 was traveling northbound on lander rd. at shaker blvd.. unit 1 stopped at the stop sign then continued east on shaker blvd. unit 2 stopped at the stop sign at lander rd. but failed to yield to unit 1 who was already established in the intersection. unit 2 struck unit 1 causing the rider of unit 1 to be ejected off the bicycle., shaker lander lander shaker continued shaker lander establish eject 
559,186136348,20186136348,https://hsip.dot.state.oh.us/api/report/20186136348,2018,8/1/2018 0:00,6,MFRAMR00327**C,M,FRA,0.317,40.074166,-83.027724,18000,19234.0,8/27/2018 0:00,Minor injury suspected,Pedalcycles,2,N,,N,N,Local roads,15,0,,b4907fdc-f7b4-4d5e-b554-0a800039e107,afaa8bb6-180a-4fb5-9c00-a9f1b2d446f1,N,0.317,MFRAMR00327**C,N,Daylight,180721531,4,8,,1,1,2,COLUMBUS,T-intersection,,N,Y,2.0,N,0.0,MR,Y,,N,COLUMBUS,N,,,,BROADMEADOWS,BLVD,,,,,N,,,HIGHFIELD,1,,,,DR,N,N,N,0,,N,,0,Other / unknown,Straight level,,87958.0,N,0.317,17,N,None,West,East,,M,N,N,N,Intersection ? unmarked crosswalk,2,Nothing struck,1,2,25,Unknown,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,5,33.0,1,4.0,3.0,1.0,M,,2,25.0,1.0,15,,,,,,1.0,6.0,NT,3,10.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186136348,"unit #1 ( a bicycle), was eastbound on broadmeadows blvd and was riding on the sidewalk as it approached highfield dr. unit #1 stated that there was a school bus stopped at the intersection. it was letting passengers off. the newly disembarked people were filling the side walk. unit #1 stated he left the side walk so he could go around the people on the sidewalk and entered the roadway. he stated that unit #2 was behind him. he stated he then slowed and almost stopped as the school bus had its flashing lights on. unit #1 advised that at this time unit #2 was also east bound on broadmeadows blvd. and did not notice him in the roadway and drove along side him resulting in a collision. unit #1 stated he fell and scrapped his elbows but did not request medical attention. the driver of unit #2 disputed this account. he stated that unit #1 suddenly exited the side walk as he drove past and ran into the side of his vehicle. each claimed the other was at fault. due to conflicting information, fault could not be determined and no citation was issued.", broadmeadow riding highfield school bus let newly disembark people fill walk walk people school bus flash advise broadmeadow notice fall scrap elbow request dispute account suddenly walk past fault conflict fault determined issue 
561,186137904,20186137904,https://hsip.dot.state.oh.us/api/report/20186137904,2018,8/1/2018 0:00,6,SFRAUS00023*DC,S,FRA,0.989,40.000696,-83.001138,18000,19234.0,8/31/2018 0:00,Minor injury suspected,Pedalcycles,6,N,One way roadway,N,N,Other principal arterial roads,18,0,,6ad39e3a-e798-4a9e-9a2d-3124a648d259,87a32fa2-748a-4a20-b269-8ee80adfb055,N,0.989,SFRAUS00023*DC,N,Daylight,180734382,4,8,,2,1,2,COLUMBUS,Not an intersection,S,N,N,2.0,N,0.009,MR,Y,,N,COLUMBUS,N,,,,SUMMIT,ST,,,,,N,,E,16TH,1,,,,AVE,N,N,N,0,,N,3.0,0,Dry,Straight level,,271295.0,N,0.989,25,Y,Failure to yield,North,West,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,35,Making righturn,Pedalcycle,,,,,,None,No control,Right turn,Sport utility vehicle,15,23.0,1,1.0,2.0,1.0,F,6.0,2,,14.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186137904,"driver of unit #1 and witness #1 stated that unit #1 was making a right turn from the southbound lanes of summit st into the alley just south of e 16th ave, and that the front right corner of unit #1 struck unit #2. rider of unit #2 stated that she was riding her bicycle southbound in the bicycle lane of summit st, passing the alley south of e 16th ave, when she was struck by unit #1 and thrown from her bicycle. rider of unit #2 was transported by cfd medic 7 to osu main, where she was treated by dr mcgrath for right arm and hip pain. driver of unit #1's correct address is 68 rosella rd empire bay, nsw (aus) 2257. driver of unit #1 was unable to show proof of insurance, but budget car rentals confirmed that any financial matters would be handled through them. driver of unit #1 was not issued a citation due to the fact that he will return to australia in approximately one week.", summit corner summit throw medic osu arm hip pain correct address empire bay nsw unable proof insurance budget rental confirm financial matter handle issue fact return australia week 
563,186140500,20186140500,https://hsip.dot.state.oh.us/api/report/20186140500,2018,8/1/2018 0:00,3,SMEDSR00303**C,S,MED,7.392,41.238278,-81.831483,9680,17668.0,8/30/2018 0:00,Minor injury suspected,Pedalcycles,5,N,Two-way roadway,N,N,Minor arterial roads,7,0,,926e6f73-0a9c-48df-b9b7-9ae665c4a53c,6b4345ab-2c6d-4436-864f-c7965cdb177b,N,7.392,SMEDSR00303**C,N,Dark - lighted roadway,1836599,4,8,,0,1,2,BRUNSWICK,Driveway/alley access,,N,N,4.0,N,0.0,,Y,4065,N,BRUNSWICK,N,,,,,,303,,,,N,,,,3,,,,,N,N,N,0,,N,3.0,0,Dry,Straight level,,148174.0,N,30.344,0,Y,Other improper action,North,South,Data not valid or not provided,U,N,N,N,Driveway access,2,Nothing struck,2,2,0,Straight ahead,Pedalcycle,,,,,,None,Stop sign,No turn,Sport utility vehicle,2,15.0,1,4.0,3.0,1.0,M,9.0,1,,15.0,20,,,,,,1.0,6.0,NT,26,2.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186140500,"unit #1 was heading eastbound on a bicycle on the sidewalk, parallel to sr 303, and was approaching the private ambulance drive at sw general hospital. unit #2 was heading southbound in the private parking lot at sw general hospital and was approaching sr 303 with a private stop sign. as unit #2 began to move out into sr 303, unit #1 crossed her path. unit #2 struck unit #1.", head parallel ambulance general head general path 
566,186145110,20186145110,https://hsip.dot.state.oh.us/api/report/20186145110,2018,8/1/2018 0:00,5,CFAICR00054**C,C,FAI,1.322,39.73124,-82.662022,41720,99741.0,8/16/2018 0:00,Minor injury suspected,Pedalcycles,5,N,,N,N,Minor collector roads,13,0,,abb4acb4-b6d3-4de9-9fb2-ee20583064bf,c37559e1-a428-4beb-98c0-9882af55bb16,N,1.322,CFAICR00054**C,N,Daylight,18  07213,4,8,,1,1,2,LANCASTER,T-intersection,,N,Y,2.0,N,0.0,MR,N,,N,LANCASTER,N,,,W,FAIR,AVE,,,,,N,,,LIBERTY,1,,,,DR,N,N,N,0,,N,,0,Wet,Straight level,,13494.0,N,1.322,54,Y,Failure to yield,East,South,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,35,Making leftturn,Pedalcycle,,,,,,None,No control,Left turn,Sport utility vehicle,3,46.0,1,4.0,3.0,1.0,M,5.0,2,35.0,15.0,20,,,,,,1.0,6.0,NT,26,10.0,,,,,,,,,,,,,0,Rain,,Non_WZ_Non_CMV,2018/pdf/186145110,"unit 1 was westbound on w fair ave, stopped in traffic at liberty dr waiting to make a left turn onto liberty dr.unit 2 was eastbound on w fair ave approaching liberty dr. unit 1 turned left in path of unit 2 and unit 2 struck front of unit 1. unit 1 at fault for failure to yield on a left turn. unit 2 had been moved prior to officer arrival.", wait path fault failure move prior 
570,186138206,20186138206,https://hsip.dot.state.oh.us/api/report/20186138206,2018,9/1/2018 0:00,6,CFRACR00075**C,C,FRA,3.531,40.069981,-82.952226,18000,19234.0,9/2/2018 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Other principal arterial roads,18,0,,a9610a88-2201-4246-9a5e-0637f5c99644,98875f6a-b723-4365-9c2f-e9915fdfacee,N,3.531,CFRACR00075**C,N,Daylight,180741518,4,9,N,1,1,2,COLUMBUS,Not an intersection,S,N,N,4.0,N,0.002,MR,N,,N,COLUMBUS,N,,,,CLEVELAND,AVE,,,,,N,,,KILBOURNE,1,,,,AVE,N,N,N,0,,N,,0,Dry,Straight level,,17598.0,N,3.531,56,Y,Failure to yield,West,East,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Entering traffic lane,Pedalcycle,,,,,,None,Stop sign,No turn,Sport utility vehicle,5,35.0,1,1.0,2.0,1.0,M,1.0,2,,15.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186138206,the driver of unit #2 (bicyclist) stated he was s/b on cleveland ave and was struck by unit #1. unit #1 stated he was traveling e/b on kilbourne ave and struck unit #2. unit #1 stated he thought unit #2 was going to stop before entering the intersection. unit #1 stated he struck the bicyclist and drove away from the intersection to get out of traffic and returned immediately after. unit #1 stated he consumed 1 bud light at noon today. officers conducted sfst-horizontal gaze nystagmus check on the driver of unit #1 and saw no signs of impairment. the witness stated unit #1 rolled through the stop sign and struck the bicyclist then drove away from the scene. the driver of unit #1 was sited for failure to yield. unit #1 was driven away from the scene. unit #2 was transported to riverside hospital for injuries to his knee., kilbourne think go away return immediately consume noon today conduct sfst horizontal gaze nystagmus check saw impairment roll away site failure away knee 
578,186139130,20186139130,https://hsip.dot.state.oh.us/api/report/20186139130,2018,9/1/2018 0:00,1,SHANSR00037**C,S,HAN,0.487,41.037039,-83.650272,27048,99727.0,9/4/2018 0:00,Injury possible,Pedalcycles,3,N,Two-way roadway,N,N,Other principal arterial roads,15,0,,f48a5970-9497-4352-80f0-ab1beb843e96,17d04875-93c6-413f-928c-3d001ed86c7f,N,0.487,SHANSR00037**C,N,Daylight,000001-18-9202,4,9,,1,0,2,FINDLAY,Four-way intersection,,N,Y,4.0,N,0.0,SR,N,,N,FINDLAY,N,,,S,MAIN,ST,,,,,N,,W,SANDUSKY,1,,,,ST,N,Y,N,0,,N,3.0,1,Dry,Straight level,,183752.0,N,0.487,33,Y,Other improper action,South,North,,F,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,0,Entering or crossing specified location,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,5,65.0,1,4.0,2.0,1.0,M,,2,25.0,5.0,15,,,,,,1.0,2.0,RT,3,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186139130,"unit 1, a bicyclist, was traveling north along the sidewalk in the west side of s. main st. unit 2 was traveling east on w. sandusky st. and had stopped for a red traffic light at s. main st. unit 2 started to make a right turn on red to go south on s. main st. unit 1 continued north through the crosswalk, which had a red, don't walk, symbol and collided with unit 2. unit 1 sustained minor injuries and was cited for disobey traffic control device.", sandusky start continue walk symbol sustained disobey device 
579,186148609,20186148609,https://hsip.dot.state.oh.us/api/report/20186148609,2018,9/1/2018 0:00,8,SBUTSR00073**C,S,BUT,0.941,39.507666,-84.728212,59234,99757.0,9/19/2018 0:00,Injury possible,Pedalcycles,4,N,Two-way roadway,N,N,Minor arterial roads,11,0,,,,N,0.941,SBUTSR00073**C,N,Daylight,2018001138,4,9,,2,0,2,OXFORD,Not an intersection,E,N,N,2.0,N,0.025,US,Y,,N,OXFORD,N,,,,STATE ROUTE 73 W,,73,SR,,,N,,,US ROUTE 27 W,1,27,US,,,N,N,N,0,,N,3.0,1,Dry,Straight level,,296631.0,N,0.941,19,Y,Improper crossing,North,South,,M,N,N,N,Midblock ? marked crosswalk,2,Nothing struck,1,2,0,"Walking, running, jogging, playing",Pedalcycle,,,,,,None,No control,No turn,Bicycle,10,28.0,1,4.0,3.0,1.0,F,,2,25.0,1.0,99,,,,,,1.0,6.0,NT,3,15.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186148609,unit 1 was riding his bicycle from north to south in the crosswalk on sr. 73 near cook field. unit 2 was traveling east on sr.73 unit 1 did not dismount his bicycle and cross the crosswalk on foot. independent witness stated that unit 1 rode quickly into and across the crosswalk not giving unit 2 adequate time to stop before she struck unit 1's right side rear tire., near field dismount foot independent quickly give adequate tire 
593,186163924,20186163924,https://hsip.dot.state.oh.us/api/report/20186163924,2018,10/1/2018 0:00,6,CFRACR00003**C,C,FRA,14.546,39.992354,-83.152099,18000,19234.0,10/14/2018 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Other principal arterial roads,13,0,,,,N,14.546,CFRACR00003**C,N,Daylight,180870126,4,10,,3,1,2,COLUMBUS,Not an intersection,S,N,N,8.0,N,0.057,,Y,,N,COLUMBUS,N,,,,HILLIARD ROME,RD,,,,,N,,,TANGLEWOOD PARK,1,,,,BLVD,N,N,N,0,,N,,0,Dry,Straight level,,1440.0,N,14.546,18,Y,Improper crossing,North,South,,M,N,N,N,Other / unknown,2,Nothing struck,1,2,0,Unknown,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,51.0,1,4.0,3.0,1.0,F,,2,,1.0,15,,,,,,1.0,6.0,NT,3,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186163924,"accident occurred in the kohl's parking lot at 1855 hilliard rome rd (private parking lot). witnesses and driver of unit 2 states that unit 2 was traveling eastbound in the parking lot in the designated lane of travel. witnesses and bicyclist listed state that bicyclist was traveling southbound in the parking lot, against the designated east/west lanes of travel. witnesses listed state that bicyclist came from behind a parked vehicle into the path of unit 2, striking unit 2 and ejecting the bicyclist. bicyclist was taken to doctors west hospital by franklin township medic 241 and was treated in the er by dr fraser for a broken right wrist. the bicycle was taken to the cpd property room for safekeeping. no citation was issued due to the accident occurring on private property.", occur kohl designate list designate list came path ejecting take doctor medic break wrist take cpd room safekeepe issue occur 
594,186163925,20186163925,https://hsip.dot.state.oh.us/api/report/20186163925,2018,10/1/2018 0:00,11,CTUSCR00513**C,C,TUS,0.182,40.490833,-81.447555,55216,99723.0,10/12/2018 0:00,Injury possible,Pedalcycles,6,N,,N,N,Major collector roads,20,0,,41778967-ee87-408c-8151-6851f1169913,8b17c9f7-9d70-46f1-bd5a-c56888cb75fb,N,0.182,CTUSCR00513**C,N,Dark - lighted roadway,18  10490,4,10,,1,0,2,NEW PHILADELPHIA,Four-way intersection,,N,Y,4.0,N,0.0,MR,N,,N,NEW PHILADELPHIA,N,N,,,2ND,ST,,,,,N,N,,ASHWOOD,1,,,,LN,N,N,N,0,,N,,1,Wet,Straight level,,43615.0,N,0.182,49,N,Not discernible,West,East,,M,N,N,N,Travel lane ? other location,2,Nothing struck,1,2,0,Entering or crossing specified location,Motor vehicle in transport,,,,,,None,Stop sign,No turn,Bicycle,0,58.0,2,3.0,2.0,1.0,F,,2,,6.0,15,,,,,,1.0,4.0,LT,3,,,,,,,,,,,,,,0,Rain,,Non_WZ_Non_CMV,2018/pdf/186163925,"unit 1 reported he stopped at the stop sign at ashwood and 2nd st nw intersection. unit 1 then attempted to cross 2nd st nw, and was struck by unit 2. unit 1 didn't have any type of lighting for his bicycle to be clearly visible. unit 1 advised of some minor pain and refused any medical attention on scene. unit 2 reported she stopped at the stop sign at ashwood and 2nd st nw intersection. unit 2 then attempted to make a left turn from ashwood onto 2nd st nw, and struck unit 1. unit 2 reported she didn't see unit 1 prior to the traffic crash.", ashwood type lighting clearly visible advise pain refuse ashwood ashwood prior 
596,186141273,20186141273,https://hsip.dot.state.oh.us/api/report/20186141273,2018,9/1/2018 0:00,12,SCUYSR00091**C,S,CUY,12.285,41.524873,-81.43873,48482,17668.0,9/6/2018 0:00,Property damage only,Pedalcycles,5,N,Two-way roadway,N,N,Other principal arterial roads,15,0,,62efaf29-fc97-4773-8990-9af0dfee58ea,7b2faa7b-f125-483a-97e1-8fac636cc60d,N,12.285,SCUYSR00091**C,N,Daylight,2182490074,4,9,N,1,0,2,MAYFIELD HEIGHTS,T-intersection,,N,Y,4.0,N,0.0,,N,6695,N,MAYFIELD HEIGHTS,N,,,,,,91,,,,N,,,,3,,,,,N,N,N,0,,N,3.0,0,Dry,Straight level,,153179.0,N,34.518,0,Y,Failure to yield,East,West,Data not valid or not provided,U,N,N,N,Data not valid or not provided,2,Nothing struck,2,2,25,Straight ahead,Pedalcycle,,,,,,None,Stop sign,No turn,Sport utility vehicle,5,11.0,1,1.0,2.0,1.0,M,1.0,1,25.0,14.0,20,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186141273,"unit #1, a bicycle, was crossing in the crosswalk, s/b on sr 91 at the exit driveway from marc's (6695 eastgate pl.). unit #2 was exiting the parking lot, and stuck unit #1. the operator of unit #1 stated that unit #2 was a newer style jeep grand cherokee (2012-2018), operated by a middle-aged white female. the female had long blond hair, and red marks on her face. unit #2 had rust around the wheel wells, and black and grey rims. unit #2 did not attempt to stop, and proceeded n/b on sr 91. there were no witnesses.", marc stick new style jeep grand cherokee operate middle aged female female blond hair face wheel well rim proceed 
598,186164262,20186164262,https://hsip.dot.state.oh.us/api/report/20186164262,2018,10/1/2018 0:00,6,SFRARA25488**C,S,FRA,0.042,39.986315,-82.986065,18000,19234.0,10/15/2018 0:00,Minor injury suspected,Pedalcycles,2,N,Ramp,N,Y,Other freeways or expressways,9,0,28200.0,5b66a513-e8a3-40cc-b7f5-85ef18170051,a9260905-33bf-4ce8-ba8d-d62b127dab3d,N,0.042,SFRARA25488**C,N,Daylight,180872243,4,10,,1,1,2,COLUMBUS,Off ramp,S,N,Y,,N,0.001,RA,N,,N,COLUMBUS,N,,,E,5TH,AVE,,,,,N,,,,1,71,IR,,,N,N,N,0,,N,1.0,0,Wet,Straight level,,,N,0.042,52,Y,None,West,East,,M,N,N,N,Shoulder / roadside,2,Nothing struck,1,2,35,Entering or crossing specified location,Pedalcycle,,,,,,None,No control,No turn,Bicycle,3,41.0,1,1.0,4.0,1.0,M,,2,35.0,5.0,15,,,,,,1.0,2.0,RT,3,1.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2018/pdf/186164262,"driver of unit #2 stated he was turning westbound onto e. 5th ave. driver of unit #2 let foot off brake and rolled forward into unit #1. unit #1 stated he was on the sidewalk going eastbound on the north side of e. 5th ave. when he went to cross the exit ramp, unit #2 struck him. the operator of unit #1 was transported to grant hospital in very stable condition by cfd medic 18. the operator of unit #1 was cited for bicycle to be ridden near right side of roadway 2173.04a.", let foot brake roll forward go go stable medic near a 
602,186164457,20186164457,https://hsip.dot.state.oh.us/api/report/20186164457,2018,10/1/2018 0:00,6,MFRAMR04233**C,M,FRA,3.815,40.0871,-82.975311,18000,19234.0,10/10/2018 0:00,Minor injury suspected,Pedalcycles,4,N,,N,N,Minor arterial roads,14,0,,a5ace52f-0d01-4cad-b5c6-35a5e9cd4681,248f0f2b-3ea1-4f78-9231-d88585b48b10,N,3.815,MFRAMR04233**C,N,Daylight,180858829,4,10,,1,1,2,COLUMBUS,Not an intersection,S,N,Y,4.0,N,0.019,MR,Y,,N,COLUMBUS,N,,,,KARL,RD,,,,,N,,E,DUBLIN GRANVILLE,1,,,,RD,N,N,N,0,,N,,0,Wet,Straight level,,123485.0,N,3.815,15,Y,Wrong way,North,South,,M,N,N,N,Sidewalk,2,Nothing struck,1,2,35,Unknown,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,10,27.0,1,3.0,4.0,1.0,M,,2,35.0,8.0,15,,,,,,1.0,6.0,NT,3,3.0,,,,,,,,,,,,,0,Rain,,Non_WZ_Non_CMV,2018/pdf/186164457,"unit 1 was on a bicycle on the sidewalk on the east side of karl rd just south of e dublin granville rd. unit 2 was facing w/b in a private drive on karl rd just south of e dublin granville rd. unit 2 driver stated that he was looking to the south for a break in traffic so he could turn north. as unit 2 slowly pulled forward, unit 1 rode in front of unit 2 causing a low- impact collision. unit 1 claimed an injury to the shin area of his left leg, but the injury was not visible. unit 1 was transported to st. ann's hospital in stable condition. it was also discovered that unit 1 had a broken brake on the back wheel although a citation was not issued, it should be noted that unit 1 is considered at-fault for the accident for improperly riding on the sidewalk.", face look break slowly forward low impact leg visible ann stable discover broken brake wheel issue note consider fault improperly 
