,Unnamed: 0,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative,Topic,Topic_num
178,561,186137904,20186137904,https://hsip.dot.state.oh.us/api/report/20186137904,2018,8/1/2018 0:00,6,SFRAUS00023*DC,S,FRA,0.989,40.000696,-83.001138,18000,19234.0,8/31/2018 0:00,Minor injury suspected,Pedalcycles,6,N,One way roadway,N,N,Other principal arterial roads,18,0,,6ad39e3a-e798-4a9e-9a2d-3124a648d259,87a32fa2-748a-4a20-b269-8ee80adfb055,N,0.989,SFRAUS00023*DC,N,Daylight,180734382,4,8,,2,1,2,COLUMBUS,Not an intersection,S,N,N,2.0,N,0.009,MR,Y,,N,COLUMBUS,N,,,,SUMMIT,ST,,,,,N,,E,16TH,1,,,,AVE,N,N,N,0,,N,3.0,0,Dry,Straight level,,271295.0,N,0.989,25,Y,Failure to yield,North,West,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,35,Making righturn,Pedalcycle,,,,,,None,No control,Right turn,Sport utility vehicle,15,23.0,1,1.0,2.0,1.0,F,6.0,2,,14.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186137904,"driver of unit #1 and witness #1 stated that unit #1 was making a right turn from the southbound lanes of summit st into the alley just south of e 16th ave, and that the front right corner of unit #1 struck unit #2. rider of unit #2 stated that she was riding her bicycle southbound in the bicycle lane of summit st, passing the alley south of e 16th ave, when she was struck by unit #1 and thrown from her bicycle. rider of unit #2 was transported by cfd medic 7 to osu main, where she was treated by dr mcgrath for right arm and hip pain. driver of unit #1's correct address is 68 rosella rd empire bay, nsw (aus) 2257. driver of unit #1 was unable to show proof of insurance, but budget car rentals confirmed that any financial matters would be handled through them. driver of unit #1 was not issued a citation due to the fact that he will return to australia in approximately one week.", witness state make right turn southbound lane summit st e ave right corner strike state ride bicycle southbound bicycle summit st pass e ave strike throw bicycle transport cfd medic osu main treat dr right arm hip pain correct address rd empire bay nsw unable proof insurance budget car rental confirm financial matter handle issue citation fact return australia approximately week ,Bicycle Accident Cases,Bicycle Accident Cases
180,564,186142392,20186142392,https://hsip.dot.state.oh.us/api/report/20186142392,2018,8/1/2018 0:00,12,SCUYSR00017**C,S,CUY,8.118,41.418453,-81.761199,9246,17668.0,8/6/2018 0:00,Injury possible,Pedalcycles,2,N,Two-way roadway,N,N,Minor arterial roads,21,0,,69ae3cd5-fcf7-4627-877f-77e70b9339fa,babfb23a-544d-45d9-9b0e-aecbf5cc40db,N,8.118,SCUYSR00017**C,N,Dark - lighted roadway,180072383,4,8,,1,0,2,BROOKLYN,Four-way intersection,S,N,Y,4.0,N,0.114,,Y,10800,N,BROOKLYN,N,,,,BROOKPARK,RD,,,,,N,,,,3,,,,,N,N,N,0,,N,3.0,1,Dry,Straight level,,131950.0,N,8.118,25,Y,Failure to yield,North,West,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,5,35.0,1,4.0,3.0,1.0,M,1.0,2,25.0,15.0,20,,,,,,1.0,2.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186142392,"unit 1 was attempting to turn right/westbound onto brookpark road from the home depot parking lot when it struck unit 2, a bicycle, which was travelling eastbound on brookpark road.", attempt turn right westbound brookpark road home depot parking lot strike bicycle travel eastbound brookpark road , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
181,566,186145110,20186145110,https://hsip.dot.state.oh.us/api/report/20186145110,2018,8/1/2018 0:00,5,CFAICR00054**C,C,FAI,1.322,39.73124,-82.662022,41720,99741.0,8/16/2018 0:00,Minor injury suspected,Pedalcycles,5,N,,N,N,Minor collector roads,13,0,,abb4acb4-b6d3-4de9-9fb2-ee20583064bf,c37559e1-a428-4beb-98c0-9882af55bb16,N,1.322,CFAICR00054**C,N,Daylight,18  07213,4,8,,1,1,2,LANCASTER,T-intersection,,N,Y,2.0,N,0.0,MR,N,,N,LANCASTER,N,,,W,FAIR,AVE,,,,,N,,,LIBERTY,1,,,,DR,N,N,N,0,,N,,0,Wet,Straight level,,13494.0,N,1.322,54,Y,Failure to yield,East,South,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,35,Making leftturn,Pedalcycle,,,,,,None,No control,Left turn,Sport utility vehicle,3,46.0,1,4.0,3.0,1.0,M,5.0,2,35.0,15.0,20,,,,,,1.0,6.0,NT,26,10.0,,,,,,,,,,,,,0,Rain,,Non_WZ_Non_CMV,2018/pdf/186145110,"unit 1 was westbound on w fair ave, stopped in traffic at liberty dr waiting to make a left turn onto liberty dr.unit 2 was eastbound on w fair ave approaching liberty dr. unit 1 turned left in path of unit 2 and unit 2 struck front of unit 1. unit 1 at fault for failure to yield on a left turn. unit 2 had been moved prior to officer arrival.", westbound w ave stop traffic dr wait left turn dr eastbound w ave approach dr turn leave path strike fault failure yield leave turn move prior officer arrival ,Intersections and signs,Intersections and signs
182,567,186157754,20186157754,https://hsip.dot.state.oh.us/api/report/20186157754,2018,8/1/2018 0:00,4,TSTATR03120**C,T,STA,0.188,40.875322,-81.330576,62988,13375.0,8/23/2018 0:00,Minor injury suspected,Pedalcycles,5,N,,N,N,Local roads,19,0,,6f783b12-85d7-4389-aa89-059a66a557a7,49ac23d6-691b-45b7-a0a4-80691c997707,N,0.188,TSTATR03120**C,N,Daylight,18  40103,3,8,,1,1,2,PLAIN TOWNSHIP,T-intersection,S,N,Y,2.0,N,0.006,TR,N,,N,PLAIN TOWNSHIP,N,N,,,EDELWEISS,ST,,,,,N,N,,DROSSEL,1,,,,AVE,N,N,Y,0,,N,,0,Dry,Straight level,,225200.0,N,0.188,11,Y,Improper crossing,South,North,,F,N,N,N,Intersection ? other,2,Nothing struck,1,2,25,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,Stop sign,No turn,Bicycle,0,52.0,1,3.0,4.0,1.0,F,,2,25.0,1.0,15,,,,,,1.0,6.0,NT,3,26.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186157754,unit #1 was traveling north on drossel ave ne on a bicycle when unit #1 failed to stop at the stop sign causing unit #2 to strike unit #1 causing minor injury., travel drossel ave ne bicycle fail stop stop sign cause strike cause injury ,traffic fails at intersections,traffic fails at intersections
183,570,186138206,20186138206,https://hsip.dot.state.oh.us/api/report/20186138206,2018,9/1/2018 0:00,6,CFRACR00075**C,C,FRA,3.531,40.069981,-82.952226,18000,19234.0,9/2/2018 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Other principal arterial roads,18,0,,a9610a88-2201-4246-9a5e-0637f5c99644,98875f6a-b723-4365-9c2f-e9915fdfacee,N,3.531,CFRACR00075**C,N,Daylight,180741518,4,9,N,1,1,2,COLUMBUS,Not an intersection,S,N,N,4.0,N,0.002,MR,N,,N,COLUMBUS,N,,,,CLEVELAND,AVE,,,,,N,,,KILBOURNE,1,,,,AVE,N,N,N,0,,N,,0,Dry,Straight level,,17598.0,N,3.531,56,Y,Failure to yield,West,East,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Entering traffic lane,Pedalcycle,,,,,,None,Stop sign,No turn,Sport utility vehicle,5,35.0,1,1.0,2.0,1.0,M,1.0,2,,15.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186138206,the driver of unit #2 (bicyclist) stated he was s/b on cleveland ave and was struck by unit #1. unit #1 stated he was traveling e/b on kilbourne ave and struck unit #2. unit #1 stated he thought unit #2 was going to stop before entering the intersection. unit #1 stated he struck the bicyclist and drove away from the intersection to get out of traffic and returned immediately after. unit #1 stated he consumed 1 bud light at noon today. officers conducted sfst-horizontal gaze nystagmus check on the driver of unit #1 and saw no signs of impairment. the witness stated unit #1 rolled through the stop sign and struck the bicyclist then drove away from the scene. the driver of unit #1 was sited for failure to yield. unit #1 was driven away from the scene. unit #2 was transported to riverside hospital for injuries to his knee., state s ave strike state travel e kilbourne ave strike state thought going stop enter intersection state struck bicyclist drive away intersection traffic return immediately state consume noon today officer conduct sfst horizontal gaze nystagmus check see sign impairment witness state roll stop sign strike bicyclist drive away scene site failure yield drive away scene transport riverside hospital injury knee ,Bicycle Accident Cases,Bicycle Accident Cases
184,578,186139130,20186139130,https://hsip.dot.state.oh.us/api/report/20186139130,2018,9/1/2018 0:00,1,SHANSR00037**C,S,HAN,0.487,41.037039,-83.650272,27048,99727.0,9/4/2018 0:00,Injury possible,Pedalcycles,3,N,Two-way roadway,N,N,Other principal arterial roads,15,0,,f48a5970-9497-4352-80f0-ab1beb843e96,17d04875-93c6-413f-928c-3d001ed86c7f,N,0.487,SHANSR00037**C,N,Daylight,000001-18-9202,4,9,,1,0,2,FINDLAY,Four-way intersection,,N,Y,4.0,N,0.0,SR,N,,N,FINDLAY,N,,,S,MAIN,ST,,,,,N,,W,SANDUSKY,1,,,,ST,N,Y,N,0,,N,3.0,1,Dry,Straight level,,183752.0,N,0.487,33,Y,Other improper action,South,North,,F,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,0,Entering or crossing specified location,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,5,65.0,1,4.0,2.0,1.0,M,,2,25.0,5.0,15,,,,,,1.0,2.0,RT,3,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186139130,"unit 1, a bicyclist, was traveling north along the sidewalk in the west side of s. main st. unit 2 was traveling east on w. sandusky st. and had stopped for a red traffic light at s. main st. unit 2 started to make a right turn on red to go south on s. main st. unit 1 continued north through the crosswalk, which had a red, don't walk, symbol and collided with unit 2. unit 1 sustained minor injuries and was cited for disobey traffic control device.", bicyclist travel sidewalk s st travel w sandusky st stop red traffic s st start right turn red s st continue crosswalk red walk symbol collide sustained injury cite disobey traffic control device ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
186,593,186163924,20186163924,https://hsip.dot.state.oh.us/api/report/20186163924,2018,10/1/2018 0:00,6,CFRACR00003**C,C,FRA,14.546,39.992354,-83.152099,18000,19234.0,10/14/2018 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Other principal arterial roads,13,0,,,,N,14.546,CFRACR00003**C,N,Daylight,180870126,4,10,,3,1,2,COLUMBUS,Not an intersection,S,N,N,8.0,N,0.057,,Y,,N,COLUMBUS,N,,,,HILLIARD ROME,RD,,,,,N,,,TANGLEWOOD PARK,1,,,,BLVD,N,N,N,0,,N,,0,Dry,Straight level,,1440.0,N,14.546,18,Y,Improper crossing,North,South,,M,N,N,N,Other / unknown,2,Nothing struck,1,2,0,Unknown,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,51.0,1,4.0,3.0,1.0,F,,2,,1.0,15,,,,,,1.0,6.0,NT,3,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186163924,"accident occurred in the kohl's parking lot at 1855 hilliard rome rd (private parking lot). witnesses and driver of unit 2 states that unit 2 was traveling eastbound in the parking lot in the designated lane of travel. witnesses and bicyclist listed state that bicyclist was traveling southbound in the parking lot, against the designated east/west lanes of travel. witnesses listed state that bicyclist came from behind a parked vehicle into the path of unit 2, striking unit 2 and ejecting the bicyclist. bicyclist was taken to doctors west hospital by franklin township medic 241 and was treated in the er by dr fraser for a broken right wrist. the bicycle was taken to the cpd property room for safekeeping. no citation was issued due to the accident occurring on private property.",accident occur kohl parking lot rome rd witness state travel eastbound parking lot designate travel witness bicyclist list state bicyclist travel southbound parking lot designate east west lanes travel witness list state bicyclist come park vehicle path strike ejecting bicyclist bicyclist take doctor hospital township medic treat er dr break right wrist bicycle take cpd property room safekeepe citation issue accident occur private property ,Bicycle Accident Cases,Bicycle Accident Cases
189,598,186164262,20186164262,https://hsip.dot.state.oh.us/api/report/20186164262,2018,10/1/2018 0:00,6,SFRARA25488**C,S,FRA,0.042,39.986315,-82.986065,18000,19234.0,10/15/2018 0:00,Minor injury suspected,Pedalcycles,2,N,Ramp,N,Y,Other freeways or expressways,9,0,28200.0,5b66a513-e8a3-40cc-b7f5-85ef18170051,a9260905-33bf-4ce8-ba8d-d62b127dab3d,N,0.042,SFRARA25488**C,N,Daylight,180872243,4,10,,1,1,2,COLUMBUS,Off ramp,S,N,Y,,N,0.001,RA,N,,N,COLUMBUS,N,,,E,5TH,AVE,,,,,N,,,,1,71,IR,,,N,N,N,0,,N,1.0,0,Wet,Straight level,,,N,0.042,52,Y,None,West,East,,M,N,N,N,Shoulder / roadside,2,Nothing struck,1,2,35,Entering or crossing specified location,Pedalcycle,,,,,,None,No control,No turn,Bicycle,3,41.0,1,1.0,4.0,1.0,M,,2,35.0,5.0,15,,,,,,1.0,2.0,RT,3,1.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2018/pdf/186164262,"driver of unit #2 stated he was turning westbound onto e. 5th ave. driver of unit #2 let foot off brake and rolled forward into unit #1. unit #1 stated he was on the sidewalk going eastbound on the north side of e. 5th ave. when he went to cross the exit ramp, unit #2 struck him. the operator of unit #1 was transported to grant hospital in very stable condition by cfd medic 18. the operator of unit #1 was cited for bicycle to be ridden near right side of roadway 2173.04a.", state turn westbound e ave let foot brake roll forward state sidewalk go eastbound e ave go exit ramp strike operator transport hospital stable condition cfd medic operator cite bicycle ride near right roadway a ,Bicycle Accident Cases,Bicycle Accident Cases
192,604,186149566,20186149566,https://hsip.dot.state.oh.us/api/report/20186149566,2018,9/1/2018 0:00,8,SHAMUS00042**C,S,HAM,7.072,39.171792,-84.467997,15000,16885.0,9/19/2018 0:00,Minor injury suspected,Pedalcycles,4,N,Two-way roadway,N,N,Other principal arterial roads,14,0,,3482c55f-57b6-46be-8c6f-06cbdbf6c30a,a2e58615-0b83-4cb8-b0a6-0626b4dce34f,N,7.072,SHAMUS00042**C,N,Daylight,185013186,4,9,,1,1,2,CINCINNATI,Four-way intersection,,N,Y,4.0,N,0.0,,N,4740,N,CINCINNATI,N,,,,READING,RD,,,,,N,,,,3,,,,,N,N,N,0,,N,3.0,0,Dry,Straight grade,,285748.0,N,7.072,58,Y,Failure to yield,East,North,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,35,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,5,57.0,99,1.0,2.0,1.0,M,1.0,2,,15.0,20,,,,,,1.0,2.0,NT,26,2.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186149566,unit #1 turning n/b onto reading rd from mercy health pl strikes unit #2 traveling s/b on reading rd., turn reading rd health pl strike travel s reading rd ,Traffic accidents near Lisbon ,Traffic accidents near Lisbon 
194,607,186150167,20186150167,https://hsip.dot.state.oh.us/api/report/20186150167,2018,9/1/2018 0:00,6,SFRAUS00023**C,S,FRA,14.2,40.00229,-82.998565,18000,19234.0,9/20/2018 0:00,Minor injury suspected,Pedalcycles,5,N,One way roadway,N,N,Other principal arterial roads,20,0,,313ceb49-4d14-4bd9-b399-4eb4edc6da3e,9b040d29-d4ab-4a8f-9dae-767fe050f030,N,14.2,SFRAUS00023**C,N,Daylight,180798213,4,9,,2,1,2,COLUMBUS,Four-way intersection,,N,Y,2.0,N,0.0,MR,Y,,N,COLUMBUS,N,,,N,4TH,ST,,,,,N,,E,18TH,1,,,,AVE,N,N,N,0,,N,3.0,0,Dry,Straight level,,240241.0,N,92.52,0,Y,Improper turn,South,West,,U,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,35,Making leftturn,Pedalcycle,,,,,,None,No control,Left turn,Sport utility vehicle,0,19.0,1,2.0,1.0,1.0,F,6.0,2,35.0,15.0,20,,,,,,1.0,6.0,NT,26,15.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186150167,unit #2 ms. chelsea pottle stated she was riding her bicycle in the bicycle lane going north on n 4th st. unit #2 stated she was crossing e 18th ave when unit #1 a teal suv or minivan turned west on e 18th ave in front of her. this action caused unit #2 to strike unit #1 in the front right side. causing her and her bicycle to fall to the ground. witness #1 confirmed the statement given by unit #2. the witness stated the first part of the license plate of unit #1 is hml. the witness stated unit #1 turned left on e 18th ave and did not return to the scene. ms. pottle was transported to osu main hospital by cfd medic #7 and treated by dr. samuel kiehl in the emergency room., ms pottle state ride bicycle bicycle go st state cross e ave suv minivan turn e ave action cause strike right cause bicycle fall ground witness confirm statement give witness state license plate hml witness state turn leave e ave return scene ms pottle transport osu hospital cfd medic treat dr kiehl emergency room ,Bicycle Accident Cases,Bicycle Accident Cases
199,619,186162285,20186162285,https://hsip.dot.state.oh.us/api/report/20186162285,2018,10/1/2018 0:00,4,SSUMSR00018**C,S,SUM,10.95,41.07776,-81.498716,1000,766.0,10/4/2018 0:00,Minor injury suspected,Pedalcycles,5,N,Two-way roadway,N,N,Other principal arterial roads,15,0,,2cf863d0-1299-47a8-8cba-9e7ee97e8adc,9c98f0ca-9e1a-4607-b2cf-8a642570df82,N,10.95,SSUMSR00018**C,N,Daylight,T18006157,4,10,N,1,1,2,AKRON,T-intersection,,N,Y,4.0,N,0.0,MR,N,,N,AKRON,N,,,E,MARKET,ST,,,,,N,,N,ADAMS,1,,,,ST,N,Y,N,0,,N,3.0,0,Dry,Straight level,,150856.0,N,193.706,66,Y,Other improper action,North,West,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,10,,1,4.0,3.0,,,1.0,2,,15.0,20,,,,,,1.0,2.0,NT,26,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186162285,unit 1 drove south on n adams and attempted to make a west turn onto market. the bicycle was traveling east on the sidewalk. unit 1 struck the bike. unit 1 stated that she stopped for the red light and then made a right turn when the bike came out of nowhere. the bicycle was driven by marcus anderson. marcus stated that he crossed at the crosswalk the last thing he saw was the countdown crosswalk sign displaying the number 7. marcus had lacerations to his left knee. stacie butler was behind unit 1 and witnessed the incident., drive attempt turn market bicycle travel sidewalk strike bike state stop red right turn bike come bicycle drive anderson state crossed crosswalk thing see countdown crosswalk sign display laceration leave knee witness incident ,Bicycle Accident Cases,Bicycle Accident Cases
200,620,186168165,20186168165,https://hsip.dot.state.oh.us/api/report/20186168165,2018,10/1/2018 0:00,6,SFRAUS00040**C,S,FRA,15.417,39.968254,-82.947767,6278,19234.0,10/20/2018 0:00,Injury possible,Pedalcycles,7,N,Two-way roadway,N,N,Other principal arterial roads,16,0,,,,N,15.417,SFRAUS00040**C,N,Daylight,18BEX-14836-AC,4,10,N,0,0,2,BEXLEY,Shared-use paths or trails,N,N,N,4.0,N,0.0,,Y,2010,N,BEXLEY,N,,,E,BROAD,ST,40,US,,,N,,,,3,,,,,N,N,N,0,,N,3.0,1,Dry,Curve level,,346226.0,N,103.26,0,Y,Failure to yield,North,West,Data not valid or not provided,U,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,0,Making righturn,Pedalcycle,,,,,,None,Stop sign,Right turn,Sport utility vehicle,10,18.0,1,4.0,3.0,1.0,M,8.0,2,,15.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2018/pdf/186168165,"unit 1 was traveling southbound exiting the st. charles parking lot turning right to go westbound on e broad st. bicycle 1 was traveling eastbound on the north sidewalk on e broad st. as bicycle 1 was passing by the st charles exit, unit 1 struck bicycle 1 in the rear tire. minor damage to bicycle 1 and possible injuries to operator of bicycle 1. injuries treated at scene, no transport.", travel southbound exiting st parking lot turn right westbound e broad st bicycle travel eastbound sidewalk e broad st bicycle pass st exit strike bicycle rear tire damage bicycle possible injury operator bicycle injury treat scene transport ,Bicycle Accidents and Injuries,Bicycle Accidents and Injuries
201,621,186168215,20186168215,https://hsip.dot.state.oh.us/api/report/20186168215,2018,10/1/2018 0:00,2,CLUCCR00098**C,C,LUC,1.604,41.607242,-83.71327,74123,87868.0,10/14/2018 0:00,Serious injury suspected,Pedalcycles,1,N,,N,N,Major collector roads,17,1,,6d4c20dc-8d33-48c9-b936-0892baeb569a,499533af-b8d2-454e-a0b1-07ab453457a5,N,1.604,CLUCCR00098**C,N,Daylight,48-1302-48,2,10,,1,0,2,SPRINGFIELD TOWNSHIP,Four-way intersection,,N,Y,2.0,N,0.0,TR,Y,,N,SPRINGFIELD TOWNSHIP,N,,,,HOLLOWAY,RD,,,,,N,,,NIGHTINGALE,1,,,,DR,N,N,N,0,,N,,0,Dry,Straight level,,19320.0,N,1.604,24,Y,Failure to yield,West,East,,F,N,N,N,Intersection ? other,2,Nothing struck,1,2,25,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,Stop sign,No turn,Bicycle,10,34.0,1,3.0,2.0,1.0,M,,2,25.0,6.0,15,,,,,,1.0,4.0,LT,3,10.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186168215,"unit #2 was westbound on nightingale road. unit #1 was eastbound on nightingale road. unit #1 failed to yield the right of way, and was struck by unit #2.", westbound nightingale road eastbound nightingale road fail yield right way strike ,Road Travel Fails,Road Travel Fails
206,629,186173446,20186173446,https://hsip.dot.state.oh.us/api/report/20186173446,2018,10/1/2018 0:00,1,SALLSR00065**C,S,ALL,5.339,40.719811,-84.09585,43554,49852.0,10/22/2018 0:00,Injury possible,Pedalcycles,2,N,Two-way roadway,N,N,Other principal arterial roads,15,0,,335259bb-e11f-4d49-b0c1-3b89798b1698,0f01e390-c900-42c8-849c-7ea8b5a3bcc5,N,5.339,SALLSR00065**C,N,Daylight,02-0787-02,4,10,,1,0,2,LIMA,Four-way intersection,S,N,Y,2.0,N,0.1,MR,N,,N,PERRY TOWNSHIP,N,,,,,,65,SR,,,N,,,8TH,1,,,,ST,N,N,N,0,,N,3.0,1,Dry,Curve level,,185987.0,N,27.879,14,Y,Failure to yield,,East,,M,N,N,N,Shoulder / roadside,2,Nothing struck,1,2,45,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,No control,Left turn,Bicycle,5,44.0,1,6.0,7.0,1.0,F,,2,45.0,1.0,15,,,,,,1.0,6.0,NT,3,45.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186173446,"unit 2 was southeast on state route 65. unit 1 was southeast on the shoulder of state route 65. unit 1 made a left turn, striking unit 2.", southeast state route southeast shoulder state route leave turn strike ,Road Travel Fails,Road Travel Fails
