OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative
184016189,20184016189,https://hsip.dot.state.oh.us/api/report/20184016189,2018,8/1/2018 0:00,12,CCUYCR00065**C,C,CUY,0,41.384552,-81.760116,61028,17668,8/27/2018 0:00,Injury possible,Pedalcycles,2,N,NA,N,N,Major collector roads,16,0,NA,8341ec75-3428-4056-9a21-c594bfc29f21,100228c7-44c7-4450-bfae-3c6f21399c9a,N,0,CCUYCR00065**C,N,Daylight,180079066,4,8,,1,0,2,PARMA HEIGHTS,T-intersection,,N,Y,4,N,0,CR,Y,,N,PARMA HEIGHTS,N,,NA,W,RIDGEWOOD,DR,65,CR,,,N,,,YORK,1,,,,RD,N,N,N,0,NA,N,NA,1,Dry,Straight level,NA,53249,N,0,16,Y,Other improper action,South,North,NA,F,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,0,Entering or crossing specified location,Pedalcycle,Motor vehicle in transport,NA,NA,NA,NA,None,No control,No turn,Bicycle,5,53,1,3,1,1,F,NA,2,25,5,15,NA,NA,NA,NA,NA,1,2,RT,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184016314,20184016314,https://hsip.dot.state.oh.us/api/report/20184016314,2018,8/1/2018 0:00,3,MRICMR00571**C,M,RIC,0.251,40.753965,-82.551705,47138,54091,8/4/2018 0:00,Injury possible,Pedalcycles,7,N,NA,N,N,Local roads,19,0,NA,d8345b5f-f14a-4b5d-905e-0189d0f0f981,74896981-5005-4afa-a372-33bf80fafb1f,N,0.251,MRICMR00571**C,N,Daylight,18022234,4,8,,4,0,2,MANSFIELD,Four-way intersection,,N,Y,2,N,0,CR,N,,N,MANSFIELD,N,,NA,,MAUMEE,AVE,,,,,N,,S,TRIMBLE,1,,,,RD,N,N,N,0,NA,N,NA,1,Dry,Straight level,NA,309762,N,0.251,29,Y,Failure to yield,West,South,NA,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Making righturn,Pedalcycle,NA,NA,NA,NA,NA,None,Signal,Right turn,Sport utility vehicle,5,35,1,2,1,1,F,99,2,25,15,20,NA,NA,NA,NA,NA,1,2,NT,26,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184008400,20184008400,https://hsip.dot.state.oh.us/api/report/20184008400,2018,5/1/2018 0:00,7,SMIASR00041**C,S,MIA,10.12,40.044431,-84.214324,77588,22528,5/26/2018 0:00,Fatal,Pedalcycles,7,N,Two-way roadway,N,N,Minor arterial roads,11,0,NA,fa639002-1674-4bdf-a15e-74c31e774ee6,f2ee6b50-aef8-4268-b360-af10e4b45ae5,N,10.12,SMIASR00041**C,N,Daylight,18TR10535,4,5,,1,0,2,TROY,Not an intersection,,N,N,4,N,0,,N,943,N,TROY,N,,NA,W,MAIN,ST,41,SR,,,N,,,,3,,,,,N,Y,N,1,NA,N,3,0,Dry,Straight level,NA,133793,N,145.846,71,Y,Improper crossing,East,South,NA,M,N,N,N,Travel lane ? other location,2,Nothing struck,1,2,35,Unknown,Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,Left turn,Bicycle,5,70,1,3,4,1,F,NA,2,35,1,15,NA,NA,NA,NA,NA,1,6,NT,3,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
186068098,20186068098,https://hsip.dot.state.oh.us/api/report/20186068098,2018,5/1/2018 0:00,1,MHANMR00718**C,M,HAN,0.508,41.049664,-83.664629,27048,99727,5/1/2018 0:00,Property damage only,Pedalcycles,3,N,NA,N,N,Major collector roads,17,0,NA,,,N,0.508,MHANMR00718**C,N,Daylight,1184436,4,5,,2,0,2,FINDLAY,Not an intersection,N,N,N,4,N,0.018,,N,,N,FINDLAY,N,,NA,,BROAD,AVE,,,,,N,,S,RIVER,1,,,,RD,N,Y,N,0,NA,N,NA,0,Dry,Straight level,NA,116701,N,0.508,54,Y,Wrong way,South,North,NA,M,N,N,N,Travel lane ? other location,2,Nothing struck,2,2,35,Approaching or leaving vehicle,Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,No turn,Bicycle,10,76,1,1,2,1,M,NA,1,35,1,15,NA,NA,NA,NA,NA,1,6,NT,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,2018/pdf/186068098,"unit 1 was traveling south bound on broad ave, in the curb lane. unit 2 (pedestrian on a bicycle) was traveling north bound on broad ave. in the curb lane of the south bound lanes. as unit 1 approached unit 2, unit 2 swerved slightly striking unit 1. unit 2 sustained no damage or injury. unit 1 sustained minor damage to the passenger side mirror and window area."
186078229,20186078229,https://hsip.dot.state.oh.us/api/report/20186078229,2018,5/1/2018 0:00,4,SSUMSR00082**C,S,SUM,4.659,41.313705,-81.50039,45976,17668,5/18/2018 0:00,Minor injury suspected,Pedalcycles,6,N,Two-way roadway,N,N,Minor arterial roads,16,0,NA,,,N,4.659,SSUMSR00082**C,N,Daylight,2018193,4,5,,1,1,2,MACEDONIA,Not an intersection,E,N,N,4,N,0.017,,N,,N,MACEDONIA,N,,NA,,,,82,SR,,,N,,,MIGLIORINI,1,,,,WAY,N,Y,N,0,NA,N,3,0,Dry,Straight grade,NA,173296,N,30.203,59,N,None,East,West,NA,M,N,N,N,Bicycle lane,2,Nothing struck,1,2,35,Unknown,Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,No turn,Bicycle,15,71,1,3,4,1,M,NA,2,35,4,15,NA,NA,NA,NA,NA,1,6,NT,3,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,2018/pdf/186078229,both units were traveling westbound on sr 82 when the crash occurred. unit #1 stated he was riding his bicycle on the right side of the road when unit #2 passed him and the camper that was being pulled struck his handle bars on the left side causing him to loose control and fall. unit #2 stated that he was pulling his camper when he passed unit #1 and was unaware that a collision had occurred. witness's stated that they observed both units collide but were unable to say who was at fault.
184010884,20184010884,https://hsip.dot.state.oh.us/api/report/20184010884,2018,6/1/2018 0:00,12,CCUYCR00323A*C,C,CUY,0.285,41.463091,-81.758696,16000,17668,6/1/2018 0:00,Injury possible,Pedalcycles,6,N,NA,N,N,Local roads,15,0,NA,29bdf3d6-93b0-4a36-8243-f2a446469ed5,04f215db-ca2f-4068-b2f8-fbd67751ff39,N,0.285,CCUYCR00323A*C,N,Daylight,7393,4,6,,1,0,2,CLEVELAND,Four-way intersection,,N,Y,4,N,0,MR,Y,,N,CLEVELAND,N,,NA,W,105TH,ST,,,,,N,,,BERNARD,1,,,,AVE,N,N,N,0,NA,N,NA,1,Dry,Straight level,NA,31555,N,0.285,15,Y,Improper crossing,West,East,NA,M,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,2,2,25,Entering or crossing specified location,Motor vehicle in transport,NA,NA,NA,NA,NA,None,Stop sign,No turn,Bicycle,2,56,1,2,1,1,M,NA,1,25,1,15,NA,NA,NA,NA,NA,1,6,NT,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184016523,20184016523,https://hsip.dot.state.oh.us/api/report/20184016523,2018,8/1/2018 0:00,12,SCUYSR00010**C,S,CUY,12.959,41.467554,-81.751597,16000,17668,8/20/2018 0:00,Injury possible,Pedalcycles,2,N,Two-way roadway,N,N,Minor arterial roads,15,0,NA,2f5cb462-91fd-421d-8c0a-dfa6b2657bac,55771b23-c3d9-415c-a612-676f5fb1d9b9,N,12.959,SCUYSR00010**C,N,Daylight,11250,4,8,,1,0,2,CLEVELAND,Not an intersection,,N,N,4,N,0,,Y,9827,N,CLEVELAND,N,,NA,,,,10,,,,N,,,,3,,,,,N,N,N,0,NA,N,3,1,Dry,Straight level,NA,295704,N,19.87,18,Y,Improper crossing,NA,NA,NA,M,N,N,N,Other / unknown,2,Nothing struck,2,2,25,Entering or crossing specified location,Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,No turn,Bicycle,5,31,1,3,4,1,F,NA,1,25,1,15,NA,NA,NA,NA,NA,1,6,NT,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,Non_WZ_Non_CMV,NA,NA
184010945,20184010945,https://hsip.dot.state.oh.us/api/report/20184010945,2018,6/1/2018 0:00,6,MFRAMR03837**C,M,FRA,0.333,40.114343,-82.922184,83342,19234,6/19/2018 0:00,Property damage only,Pedalcycles,3,N,NA,N,N,Minor collector roads,15,0,NA,a83faf1e-c32d-4b17-8c64-e8559e59f11f,7787ff1a-36c4-4d3f-a01f-6924265ce5da,N,0.333,MFRAMR03837**C,N,Daylight,2018-00013820,4,6,,1,0,2,WESTERVILLE,Four-way intersection,,N,Y,2,N,0,MR,Y,,N,WESTERVILLE,N,,NA,,OTTERBEIN,AVE,,,,,N,,,CHERRINGTON,1,,,,RD,N,N,N,0,NA,N,NA,0,Dry,Straight level,NA,127065,N,0.333,0,Y,Other improper action,South,North,Data not valid or not provided,U,N,N,N,Data not valid or not provided,2,Nothing struck,2,2,25,NA,Other / unknown,NA,NA,NA,NA,NA,None,Stop sign,No turn,Sport utility vehicle,0,15,20,4,3,1,F,1,1,25,15,20,NA,NA,NA,NA,NA,1,4,NT,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Cloudy,NA,Non_WZ_Non_CMV,NA,NA
184016532,20184016532,https://hsip.dot.state.oh.us/api/report/20184016532,2018,8/1/2018 0:00,12,SCUYUS00322**C,S,CUY,0.847,41.50337,-81.679193,16000,17668,8/20/2018 0:00,Property damage only,Pedalcycles,2,N,Two-way roadway,N,N,Other principal arterial roads,12,0,NA,503a8f60-7e92-4a56-9913-998a5d3ae7e2,3d8fa83c-7a3c-4db0-a9a3-d3c6b8d7f3dc,N,0.847,SCUYUS00322**C,N,Daylight,11256,4,8,N,1,0,2,CLEVELAND,Four-way intersection,,N,Y,4,N,0,CR,N,,N,CLEVELAND,N,,NA,,,,322,US,,,N,,E,18TH,1,,,,ST,N,N,N,0,NA,N,3,0,Dry,Straight level,NA,346718,N,0.847,0,Y,Improper crossing,East,West,Data not valid or not provided,U,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,2,2,35,Entering or crossing specified location,Motor vehicle in transport,NA,NA,NA,NA,NA,None,Signal,No turn,Bicycle,0,NA,1,4,9,1,F,NA,1,35,5,15,NA,NA,NA,NA,NA,1,2,RT,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184008515,20184008515,https://hsip.dot.state.oh.us/api/report/20184008515,2018,5/1/2018 0:00,6,MMARMR00554**C,M,MAR,0.638,40.588062,-83.106369,47754,99746,5/7/2018 0:00,Minor injury suspected,Pedalcycles,2,Y,NA,N,N,Major collector roads,8,0,NA,8919f2ad-8c0a-4a2d-834a-6c9267ec4c14,55431ad1-7f92-4471-a135-60a0e0b699c8,N,0.638,MMARMR00554**C,N,Daylight,201802294,4,5,,2,1,2,MARION,Four-way intersection,,N,Y,2,N,0,MR,N,,N,MARION,N,,NA,E,CHURCH,ST,,,,,N,,,FORREST LAWN,1,,,,BLVD,N,Y,N,0,NA,N,NA,0,Dry,Straight level,NA,86598,N,0.638,7,Y,Failure to yield,South,East,Other distraction outside the vehicle,M,N,N,N,Other / unknown,2,Nothing struck,1,2,35,NA,Pedalcycle,NA,NA,NA,NA,NA,None,Stop sign,Right turn,Bicycle,0,78,1,4,3,1,F,NA,2,35,1,99,NA,NA,NA,NA,NA,1,6,NT,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184011029,20184011029,https://hsip.dot.state.oh.us/api/report/20184011029,2018,6/1/2018 0:00,2,CWOOCR00802A*C,C,WOO,0.068,41.551055,-83.605172,62148,87868,6/14/2018 0:00,Property damage only,Pedalcycles,5,N,NA,N,N,Local roads,18,0,NA,baaa155c-9e25-42c8-acef-86326d0d3475,2ff4589b-658b-4fec-b42e-5bbcb3c27d85,N,0.068,CWOOCR00802A*C,N,Daylight,2018-8068,4,6,,3,0,2,PERRYSBURG,Not an intersection,,N,Y,1,N,0,US,Y,,N,PERRYSBURG,N,,NA,E,SOUTH BOUNDARY,ST,,,,,N,,,,1,20,US,,,N,Y,N,0,NA,N,NA,0,Dry,Straight level,NA,67537,N,0.068,23,Y,Improper crossing,West,East,NA,M,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,2,2,0,"Walking, running, jogging, playing",Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,No turn,Bicycle,10,70,1,8,5,1,M,NA,1,25,1,15,NA,NA,NA,NA,NA,1,4,NT,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184011045,20184011045,https://hsip.dot.state.oh.us/api/report/20184011045,2018,6/1/2018 0:00,8,MGREMR00205**C,M,GRE,0.887,39.695,-84.085093,4720,22528,6/27/2018 0:00,Minor injury suspected,Pedalcycles,4,N,NA,N,N,Local roads,1,0,NA,a69e3bea-3777-4243-bced-40cc831172e8,e93afc28-b756-4183-8a43-349c2ba06bee,N,0.887,MGREMR00205**C,N,Other / unknown,2018-00015869,4,6,,1,1,2,BEAVERCREEK,Not an intersection,S,N,N,2,N,0.009,CR,N,,N,BEAVERCREEK,N,,NA,,DARST,RD,,,,,N,,,INDIAN RIPPLE,1,,,,RD,N,N,N,0,NA,N,NA,0,Dry,Straight level,NA,289280,N,0.887,11,Y,Failure to yield,East,West,NA,M,N,N,N,Other / unknown,2,Nothing struck,1,2,35,Entering or crossing specified location,Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,No turn,Bicycle,5,46,1,1,2,1,F,NA,2,35,1,15,NA,NA,NA,NA,NA,1,6,NT,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184018310,20184018310,https://hsip.dot.state.oh.us/api/report/20184018310,2018,8/1/2018 0:00,8,CBUTCR00700**C,C,BUT,0.713,39.403876,-84.569106,33012,16885,8/31/2018 0:00,Property damage only,Pedalcycles,6,N,NA,N,N,Major collector roads,10,0,NA,6650dc05-059f-41aa-ad80-490f6f38ec56,289e05de-02f9-4592-aa81-be71746d3729,N,0.713,CBUTCR00700**C,N,Daylight,18167433,4,8,,1,0,2,HAMILTON,Not an intersection,,N,Y,2,N,0,SR,N,,N,HAMILTON,N,,NA,S,D,ST,,,,,N,,,MAIN,1,,,,ALY,N,N,N,0,NA,N,NA,0,Dry,Straight grade,NA,34497,N,0.713,0,Y,Other improper action,West,East,Data not valid or not provided,U,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,0,Unknown,Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,No turn,Bicycle,0,46,1,1,2,1,F,NA,2,25,1,15,NA,NA,NA,NA,NA,1,6,NT,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184011254,20184011254,https://hsip.dot.state.oh.us/api/report/20184011254,2018,6/1/2018 0:00,12,CCUYCR00008**C,C,CUY,5.841,41.496951,-81.565175,16014,17668,6/20/2018 0:00,Injury possible,Pedalcycles,4,N,NA,N,N,Other principal arterial roads,10,0,NA,f3f8b51d-18e9-4bb5-9f10-b69b14651985,40a683b9-1db5-48d1-8df6-25f12aa54365,N,5.841,CCUYCR00008**C,N,Daylight,1802965,4,6,,1,0,2,CLEVELAND HEIGHTS,Four-way intersection,N,N,Y,4,N,0.001,MR,N,,N,CLEVELAND HEIGHTS,N,,NA,,LEE,RD,,,,,N,,,SILSBY,1,,,,RD,N,N,N,0,NA,N,NA,1,Dry,Straight level,NA,2368,N,5.841,60,Y,Other improper action,East,West,NA,M,N,N,N,Data not valid or not provided,2,Nothing struck,2,2,25,Entering traffic lane,Pedalcycle,NA,NA,NA,NA,NA,None,Signal,No turn,Sport utility vehicle,5,13,99,1,2,1,F,1,1,25,14,20,NA,NA,NA,NA,NA,1,2,NT,26,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184011272,20184011272,https://hsip.dot.state.oh.us/api/report/20184011272,2018,6/1/2018 0:00,2,CLUCCR00004**C,C,LUC,7.46,41.717346,-83.738206,76022,87868,6/20/2018 0:00,Minor injury suspected,Pedalcycles,4,N,NA,N,N,Minor arterial roads,15,0,NA,c5b82a5a-bfc2-4fb2-a669-c1d430ac9198,9c18b7ce-1ce1-4564-930b-89e464f1c694,N,7.46,CLUCCR00004**C,N,Daylight,1-18-1795,4,6,,2,1,3,SYLVANIA,Four-way intersection,,N,Y,2,N,0,MR,Y,,N,SYLVANIA,N,,NA,,ERIE,ST,,,,,N,,,APPLE MEADOW,1,,,,DR,N,Y,N,0,NA,N,NA,0,Wet,Straight level,NA,1941,N,7.46,65,Y,Ran stop sign,North,South,NA,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Straight ahead,Pedalcycle,Pedalcycle,NA,NA,NA,NA,None,Stop sign,No turn,Sport utility vehicle,2,15,16,4,3,1,M,1,2,NA,14,20,NA,NA,NA,NA,NA,1,6,NT,26,NA,16,3,14,20,NA,NA,NA,NA,NA,1,6,26,0,Rain,NA,Non_WZ_Non_CMV,NA,NA
184011332,20184011332,https://hsip.dot.state.oh.us/api/report/20184011332,2018,6/1/2018 0:00,6,SFRAUS00023**C,S,FRA,23.758,40.12383,-83.015861,71787,19234,6/28/2018 0:00,Injury possible,Pedalcycles,5,N,Two-way roadway,N,N,Other principal arterial roads,2,0,NA,,,N,23.758,SFRAUS00023**C,N,Dark - lighted roadway,6.28202E+12,1,6,H,1,0,2,SHARON TOWNSHIP,Not an intersection,N,Y,N,4,Y,0.108,,N,,N,SHARON TOWNSHIP,N,,NA,,,,23,US,,,N,,,FLINT,1,,,,RD,N,N,N,0,NA,N,2,1,Dry,Straight grade,NA,284817,N,102.078,26,Y,Following too close/acda,South,North,NA,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,45,Straight ahead,Pedalcycle,NA,NA,NA,NA,NA,None,No control,No turn,Sport utility vehicle,40,30,22,2,1,1,M,5,2,45,15,20,NA,NA,NA,NA,NA,1,6,NT,26,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184008841,20184008841,https://hsip.dot.state.oh.us/api/report/20184008841,2018,6/1/2018 0:00,6,SDELSR00750**C,S,DEL,2.418,40.158283,-83.083793,64486,19234,6/7/2018 0:00,Minor injury suspected,Pedalcycles,5,N,Two-way roadway,N,N,Other principal arterial roads,12,0,NA,fec2b76d-7ce5-441a-af99-9b87663baaaf,5b59101b-fd86-4cc0-ae9c-60e9aee24558,N,2.418,SDELSR00750**C,N,Daylight,180525,4,6,,1,1,2,POWELL,Four-way intersection,,N,Y,2,N,0,MR,N,,N,POWELL,N,,NA,W,OLENTANGY,ST,,,,,N,,,MURPHY,1,,,,PKWY,N,Y,N,0,NA,N,3,0,Dry,Straight level,NA,153121,N,2.418,13,N,Improper crossing,South,North,NA,F,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,25,Entering or crossing specified location,Motor vehicle in transport,NA,NA,NA,NA,NA,None,Signal,No turn,Bicycle,6,67,1,3,4,1,M,NA,2,35,1,15,NA,NA,NA,NA,NA,1,2,NT,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184011519,20184011519,https://hsip.dot.state.oh.us/api/report/20184011519,2018,6/1/2018 0:00,12,CCUYCR00750**C,C,CUY,0.113,41.488158,-81.720865,16000,17668,6/13/2018 0:00,Minor injury suspected,Pedalcycles,4,N,NA,N,N,Minor arterial roads,12,0,NA,e9064d69-ad1f-4bd8-84fa-3eb449828c20,edf496d1-d9d8-4cb6-be0c-a655a2a2bd0a,N,0.113,CCUYCR00750**C,N,Other / unknown,7969,4,6,,1,1,2,CLEVELAND,On ramp,S,N,N,2,N,0.019,CR,N,,N,CLEVELAND,N,,NA,W,49TH,ST,,,,,N,,,HERMAN,1,,,,AVE,N,N,N,0,NA,N,NA,0,Other / unknown,Straight level,NA,63205,N,0.113,56,Y,None,North,South,NA,M,N,N,N,Shoulder / roadside,2,Nothing struck,2,2,25,"Walking, running, jogging, playing",Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,No turn,Bicycle,3,63,1,1,2,1,M,NA,1,25,1,15,NA,NA,NA,NA,NA,1,6,NT,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
184008890,20184008890,https://hsip.dot.state.oh.us/api/report/20184008890,2018,5/1/2018 0:00,4,STRURA78171**C,S,TRU,0.39,41.153409,-80.666602,43344,99999,5/15/2018 0:00,Injury possible,Pedalcycles,3,N,Ramp,N,Y,Interstate route,13,0,89800,43103181-2d7c-4a95-b867-7b67b82a0b8d,41f45ab5-1dab-41dc-a1c8-00d601523d4a,Y,0.39,STRURA78171**C,N,Daylight,18-04153,1,5,,1,0,2,LIBERTY TOWNSHIP,T-intersection,,N,Y,NA,Y,0,CR,N,,N,LIBERTY TOWNSHIP,N,,NA,E,LIBERTY,ST,,,,,N,,,I 80 E,1,80,IR,,,N,N,N,0,NA,N,1,1,Dry,Straight grade,NA,NA,N,0.39,35,Y,Failure to yield,South,East,NA,F,N,N,N,Data not valid or not provided,2,Nothing struck,2,2,35,Making righturn,Pedalcycle,NA,NA,NA,NA,NA,None,Signal,Right turn,Sport utility vehicle,5,38,1,4,3,1,M,3,1,35,14,15,NA,NA,NA,NA,NA,1,2,NT,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_Non_CMV,NA,NA
